7, 3976,  276;
$9,  258,  601, HL’bš’’‚ŠÚj
$9,  248,  591,  102,32201;
$1,  834, 1178, 2083,  499;
$2, 2067, 2007, 1973,  656;
$3,64644,50024,64644,50024;
$4,22911,60287,59648,  656;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1188,  828, 1188,  828;
$8, 2928, 3976, 3976,  276;
$9,  246,  593,  102,32201;
$1,  834, 1178, 2162,  491;
$2, 2071, 2007, 1969,  658;
$3,64644,50024,64644,50024;
$4,23167,59775,59136,  658;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1183,  828, 1183,  828;
$8, 2928, 3976, 3977,  276;
$9,  247,  590,  102,32201;
$1,  833, 1178, 2084,  499;
$2, 2065, 2009, 1972,  656;
$3,64644,50024,64644,50024;
$4,22399,59775,58624,  656;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1183,  832, 1183,  832;
$8, 2928, 3976, 3976,  276;
$9,  246,  592,  102,32201;
$1,  834, 1177, 2097,  501;
$2, 2065, 2007, 1968,  657;
$3,64644,50024,64644,50024;
$4,22143,59263,57600,  657;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1178,  836, 1178,  836;
$8, 2934, 3976, 3976,  276;
$9,  254,  585,  102,32201;
$1,  833, 1180, 2077,  500;
$2, 2059, 2008, 1971,  651;
$3,64644,50024,64644,50024;
$4,22399,59263,58624,  651;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1184,  831, 1184,  831;
$8, 2918, 3977, 3976,  276;
$9,  256,  596,  102,32201;
$1,  834, 1178, 2201,  414;
$2, 2072, 2014, 1977,  653;
$3,64644,50024,64644,50024;
$4,24447,61055,59392,  653;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1188,  835, 1188,  835;
$8, 2927, 3976, 3976,  276;
$9,  258,  592,  102,32201;
$1,  834, 1178, 2077,  500;
$2, 2060, 2011, 1976,  658;
$3,64644,50024,64644,50024;
$4,24191,60799,58880,  658;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1179,  832, 1179,  832;
$8, 2923, 3976, 3976,  276;
$9,  258,  597,  102,32201;
$1,  834, 1178, 2098,  499;
$2, 2065, 2010, 1968,  658;
$3,64644,50024,64644,50024;
$4,23679,59775,58624,  658;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1188,  835, 1188,  835;
$8, 2927, 3975, 3976,  276;
$9,  258,  594,  102,32201;
$1,  834, 1177, 2111,  495;
$2, 2073, 2008, 1973,  654;
$3,64644,50024,64644,50024;
$4,22911,60287,59648,  654;
$5,65535,    1,53188,    0;
$6, 2234, 2069, 2234, 2069;
$7, 1179,  832, 1179,  832;
$8, 2923, 3976, 3976,  276;
$9,  256,  592,  102,32201;
$1,  834, 1177, 2087,  497;
$2, 2061, 2008, 1977,  656;
$3,64644,50024,64644,50024;
$4,23679,60543,60160,  656;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1176,  834, 1176,  834;
$8, 2919, 3976, 3976,  276;
$9,  256,  595,  102,32201;
$1,  834, 1180, 2087,  501;
$2, 2063, 2010, 1972,  587;
$3,64644,50024,64644,50024;
$4,21887,59775,59136,  587;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1182,  830, 1182,  830;
$8, 2928, 3976, 3976,  276;
$9,  247,  595,  102,32201;
$1,  834, 1178, 2103,  498;
$2, 2061, 2007, 1968,  457;
$3,64644,50024,64644,50024;
$4,22399,61055,59136,  457;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1183,  832, 1183,  832;
$8, 2922, 3976, 3976,  276;
$9,  257,  591,  102,32201;
$1,  834, 1180, 2142,  493;
$2, 2061, 2012, 1978,  369;
$3,64644,50024,64644,50024;
$4,22911,61055,59136,  369;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1189,  827, 1189,  827;
$8, 2919, 3977, 3977,  276;
$9,  257,  589,  102,32201;
$1,  834, 1178, 2091,  500;
$2, 2060, 2008, 1968,  314;
$3,64644,50024,64644,50024;
$4,23935,60799,58880,  314;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1180,  833, 1180,  833;
$8, 2923, 3976, 3975,  276;
$9,  257,  595,  102,32201;
$1,  833, 1178, 2087,  500;
$2, 2055, 2008, 1977,  273;
$3,64644,50024,64644,50024;
$4,21887,59263,58624,  273;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1183,  834, 1183,  834;
$8, 2928, 3977, 3977,  276;
$9,  248,  597,  102,32201;
$1,  834, 1178, 2078,  497;
$2, 2059, 2005, 1970,  232;
$3,64644,50024,64644,50024;
$4,23679,60799,58880,  232;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1186,  831, 1186,  831;
$8, 2931, 3976, 3976,  276;
$9,  256,  601,  102,32201;
$1,  834, 1178, 2208,  414;
$2, 2057, 2008, 1973,  196;
$3,64644,50024,64644,50024;
$4,22911,60287,59136,  196;
$5,65535,    1,53188,    0;
$6, 2233, 2068, 2233, 2068;
$7, 1188,  832, 1188,  832;
$8, 2928, 3977, 3977,  276;
$9,  246,  593,  102,32201;
$1,  834, 1178, 2086,  496;
$2, 2067, 2010, 1979,  185;
$3,64644,50024,64644,50024;
$4,24447,60287,59136,  185;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1180,  830, 1180,  830;
$8, 2929, 3977, 3976,  275;
$9,  256,  592,  102,32201;
$1,  834, 1178, 2098,  496;
$2, 2070, 2010, 1980,  169;
$3,64644,50024,64644,50024;
$4,23423,60543,57856,  169;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1189,  828, 1189,  828;
$8, 2918, 3975, 3977,  276;
$9,  256,  594,  102,32201;
$1,  834, 1180, 2092,  497;
$2, 2062, 2009, 1978,  152;
$3,64644,50024,64644,50024;
$4,22911,59775,58112,  152;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1179,  835, 1179,  835;
$8, 2919, 3976, 3976,  276;
$9,  257,  594,  102,32201;
$1,  833, 1178, 2095,  493;
$2, 2061, 2011, 1978,  137;
$3,64644,50024,64644,50024;
$4,22143,60287,59136,  137;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1182,  835, 1182,  835;
$8, 2933, 3976, 3976,  276;
$9,  251,  590,  102,32201;
$1,  834, 1180, 2086,  499;
$2, 2059, 2007, 1969,  129;
$3,64644,50024,64644,50024;
$4,23679,59263,59904,  129;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1188,  834, 1188,  834;
$8, 2924, 3976, 3976,  276;
$9,  248,  595,  102,32201;
$1,  833, 1178, 2078,  497;
$2, 2061, 2010, 1978,  123;
$3,64644,50024,64644,50024;
$4,23935,60031,58112,  123;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1179,  833, 1179,  833;
$8, 2919, 3976, 3977,  275;
$9,  251,  601,  102,32201;
$1,  834, 1177, 2072,  490;
$2, 2067, 2007, 1972,  121;
$3,64644,50024,64644,50024;
$4,22911,59519,58112,  121;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1182,  831, 1182,  831;
$8, 2928, 3976, 3976,  276;
$9,  246,  599,  102,32201;
$1,  834, 1178, 2095,  496;
$2, 2059, 2009, 1980,  122;
$3,64644,50024,64644,50024;
$4,21887,59775,57344,  122;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1183,  829, 1183,  829;
$8, 2919, 3976, 3976,  275;
$9,  258,  591,  102,32201;
$1,  834, 1178, 2092,  496;
$2, 2060, 2013, 1971,  118;
$3,64644,50024,64644,50024;
$4,23423,60287,58112,  118;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1188,  829, 1188,  829;
$8, 2918, 3976, 3976,  276;
$9,  256,  594,  102,32201;
$1,  833, 1180, 2093,  501;
$2, 2054, 2008, 1980,  119;
$3,64644,50024,64644,50024;
$4,23423,60287,58624,  119;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1179,  830, 1179,  830;
$8, 2923, 3977, 3976,  276;
$9,  257,  591,  102,32201;
$1,  834, 1180, 2196,  414;
$2, 2067, 2011, 1970,  119;
$3,64644,50024,64644,50024;
$4,22399,60543,58368,  119;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1182,  829, 1182,  829;
$8, 2927, 3976, 3976,  275;
$9,  258,  597,  102,32201;
$1,  834, 1178, 2113,  497;
$2, 2061, 2011, 1975,  119;
$3,64644,50024,64644,50024;
$4,21631,60287,58112,  119;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1188,  834, 1188,  834;
$8, 2928, 3977, 3976,  276;
$9,  246,  591,  102,32201;
$1,  834, 1178, 2083,  495;
$2, 2058, 2007, 1969,  120;
$3,64644,50024,64644,50024;
$4,23423,61311,59136,  120;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1176,  835, 1176,  835;
$8, 2919, 3976, 3976,  276;
$9,  258,  593,  102,32201;
$1,  834, 1177, 2120,  492;
$2, 2067, 2010, 1976,  118;
$3,64644,50024,64644,50024;
$4,22911,60543,59136,  118;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1182,  833, 1182,  833;
$8, 2931, 3976, 3976,  276;
$9,  257,  602,  102,32201;
$1,  834, 1178, 2090,  495;
$2, 2062, 2010, 1971,  120;
$3,64644,50024,64644,50024;
$4,22911,60287,58112,  120;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1188,  835, 1188,  835;
$8, 2927, 3976, 3976,  276;
$9,  258,  594,  102,32201;
$1,  834, 1180, 2076,  498;
$2, 2063, 2011, 1977,  117;
$3,64644,50024,64644,50024;
$4,22399,60799,57600,  117;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1179,  834, 1179,  834;
$8, 2918, 3977, 3976,  276;
$9,  254,  606,  102,32201;
$1,  834, 1180, 2107,  496;
$2, 2062, 2007, 1974,  117;
$3,64644,50024,64644,50024;
$4,24447,59263,58624,  117;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1179,  832, 1179,  832;
$8, 2928, 3976, 3976,  276;
$9,  246,  595,  102,32201;
$1,  834, 1179, 2152,  487;
$2, 2073, 2009, 1968,  121;
$3,64644,50024,64644,50024;
$4,23423,59263,58880,  121;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1180,  834, 1180,  834;
$8, 2926, 3977, 3976,  276;
$9,  250,  592,  102,32201;
$1,  834, 1178, 2088,  495;
$2, 2057, 2008, 1970,  133;
$3,64644,50024,64644,50024;
$4,22911,61311,58368,  133;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1184,  833, 1184,  833;
$8, 2919, 3976, 3976,  276;
$9,  257,  591,  102,32201;
$1,  835, 1178, 2084,  496;
$2, 2069, 2008, 1973,  164;
$3,64644,50024,64644,50024;
$4,21887,60287,59136,  164;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1178,  834, 1178,  834;
$8, 2928, 3976, 3976,  276;
$9,  246,  595,  102,32201;
$1,  834, 1179, 2077,  495;
$2, 2050, 2005, 1968,  185;
$3,64644,50024,64644,50024;
$4,23167,60287,58880,  185;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1188,  836, 1188,  836;
$8, 2924, 3976, 3976,  276;
$9,  248,  595,  102,32201;
$1,  834, 1177, 2212,  410;
$2, 2069, 2007, 1972,  196;
$3,64644,50024,64644,50024;
$4,22911,60543,59648,  196;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1186,  834, 1186,  834;
$8, 2928, 3976, 3977,  276;
$9,  246,  601,  102,32201;
$1,  834, 1179, 2106,  493;
$2, 2058, 2010, 1973,  229;
$3,64644,50024,64644,50024;
$4,23935,58751,59136,  229;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1178,  835, 1178,  835;
$8, 2927, 3977, 3976,  276;
$9,  257,  604,  102,32201;
$1,  835, 1177, 2103,  495;
$2, 2061, 2012, 1964,  275;
$3,64644,50024,64644,50024;
$4,21887,59775,59136,  275;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1183,  833, 1183,  833;
$8, 2923, 3976, 3975,  276;
$9,  257,  602,  102,32201;
$1,  835, 1180, 2106,  495;
$2, 2060, 2008, 1971,  331;
$3,64644,50024,64644,50024;
$4,22399,60287,57856,  331;
$5,65535,    1,53188,    0;
$6, 2236, 2067, 2236, 2067;
$7, 1178,  829, 1178,  829;
$8, 2925, 3976, 3976,  276;
$9,  251,  595,  102,32201;
$1,  834, 1178, 2077,  493;
$2, 2061, 2011, 1974,  374;
$3,64644,50024,64644,50024;
$4,23167,61311,60160,  374;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1182,  832, 1182,  832;
$8, 2923, 3977, 3976,  275;
$9,  257,  593,  102,32201;
$1,  835, 1178, 2119,  491;
$2, 2064, 2011, 1968,  411;
$3,64644,50024,64644,50024;
$4,23935,60799,57600,  411;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1187,  833, 1187,  833;
$8, 2919, 3975, 3976,  275;
$9,  258,  597,  102,32201;
$1,  834, 1180, 2085,  494;
$2, 2067, 2010, 1974,  490;
$3,64644,50024,64644,50024;
$4,22399,60287,59648,  490;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1188,  831, 1188,  831;
$8, 2919, 3976, 3976,  276;
$9,  255,  592,  102,32201;
$1,  834, 1178, 2154,  481;
$2, 2061, 2008, 1971,  530;
$3,64644,50024,64644,50024;
$4,21887,60799,58112,  530;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1179,  835, 1179,  835;
$8, 2919, 3976, 3976,  276;
$9,  257,  597,  102,32201;
$1,  835, 1177, 2111,  495;
$2, 2063, 2010, 1975,  579;
$3,64644,50024,64644,50024;
$4,23423,60031,58880,  579;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1182,  828, 1182,  828;
$8, 2934, 3976, 3977,  276;
$9,  257,  594,  102,32201;
$1,  834, 1180, 2095,  495;
$2, 2062, 2010, 1976,  622;
$3,64644,50024,64644,50024;
$4,22399,59775,59392,  622;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1187,  831, 1187,  831;
$8, 2919, 3975, 3976,  276;
$9,  256,  591,  102,32201;
$1,  834, 1178, 2090,  493;
$2, 2065, 2008, 1973,  657;
$3,64644,50024,64644,50024;
$4,23167,60543,59392,  657;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1178,  828, 1178,  828;
$8, 2928, 3975, 3976,  275;
$9,  247,  597,  102,32201;
$1,  834, 1178, 2196,  412;
$2, 2063, 2012, 1977,  664;
$3,64644,50024,64644,50024;
$4,22911,60287,52992,  664;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1182,  830, 1182,  830;
$8, 2929, 3977, 3976,  276;
$9,  252,  600,  102,32201;
$1,  834, 1178, 2099,  493;
$2, 2063, 2007, 1971,  675;
$3,64644,50024,64644,50024;
$4,22911,60287,58112,  675;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1182,  833, 1182,  833;
$8, 2930, 3976, 3975,  275;
$9,  256,  596,  102,32201;
$1,  835, 1180, 2078,  499;
$2, 2063, 2010, 1977,  680;
$3,64644,50024,64644,50024;
$4,22399,60031,59136,  680;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1188,  834, 1188,  834;
$8, 2924, 3977, 3976,  276;
$9,  248,  592,  102,32201;
$1,  834, 1177, 2096,  493;
$2, 2069, 2008, 1972,  688;
$3,64644,50024,64644,50024;
$4,22399,60287,57856,  688;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1179,  831, 1179,  831;
$8, 2919, 3977, 3976,  276;
$9,  256,  599,  102,32201;
$1,  833, 1179, 2080,  495;
$2, 2066, 2007, 1971,  693;
$3,64644,50024,64644,50024;
$4,22399,59007,57856,  693;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1182,  833, 1182,  833;
$8, 2931, 3977, 3976,  276;
$9,  257,  599,  102,32201;
$1,  835, 1178, 2145,  493;
$2, 2062, 2010, 1965,  690;
$3,64644,50024,64644,50024;
$4,22399,61055,58112,  690;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1188,  833, 1188,  833;
$8, 2919, 3977, 3976,  276;
$9,  257,  598,  102,32201;
$1,  834, 1180, 2111,  494;
$2, 2053, 2009, 1972,  695;
$3,64644,50024,64644,50024;
$4,23423,60543,58112,  695;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1178,  835, 1178,  835;
$8, 2927, 3976, 3976,  276;
$9,  258,  594,  102,32201;
$1,  834, 1178, 2141,  486;
$2, 2061, 2012, 1971,  690;
$3,64644,50024,64644,50024;
$4,23935,60799,59136,  690;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1182,  834, 1182,  834;
$8, 2934, 3976, 3976,  276;
$9,  257,  589,  102,32201;
$1,  834, 1180, 2094,  493;
$2, 2060, 2012, 1976,  689;
$3,64644,50024,64644,50024;
$4,22143,58751,58624,  689;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1186,  833, 1186,  833;
$8, 2930, 3976, 3976,  276;
$9,  256,  601,  102,32201;
$1,  834, 1178, 2101,  493;
$2, 2056, 2009, 1973,  687;
$3,64644,50024,64644,50024;
$4,22399,60543,57088,  687;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1188,  831, 1188,  831;
$8, 2919, 3977, 3976,  276;
$9,  258,  598,  102,32201;
$1,  834, 1178, 2089,  493;
$2, 2059, 2008, 1972,  673;
$3,64644,50024,64644,50024;
$4,22399,61055,60416,  673;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1182,  834, 1182,  834;
$8, 2928, 3976, 3975,  276;
$9,  246,  600,  102,32201;
$1,  835, 1177, 2199,  415;
$2, 2063, 2012, 1975,  616;
$3,64644,50024,64644,50024;
$4,23935,61055,58624,  616;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1182,  832, 1182,  832;
$8, 2929, 3976, 3977,  276;
$9,  257,  595,  102,32201;
$1,  834, 1177, 2145,  497;
$2, 2062, 2008, 1975,  456;
$3,64644,50024,64644,50024;
$4,21375,60799,58368,  456;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1187,  833, 1187,  833;
$8, 2919, 3976, 3976,  276;
$9,  258,  587,  102,32201;
$1,  834, 1177, 2099,  495;
$2, 2069, 2006, 1970,  355;
$3,64644,50024,64644,50024;
$4,22399,59775,59136,  355;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1178,  832, 1178,  832;
$8, 2931, 3976, 3976,  276;
$9,  258,  590,  102,32201;
$1,  834, 1178, 2103,  490;
$2, 2064, 2010, 1972,  289;
$3,64644,50024,64644,50024;
$4,23935,60543,59136,  289;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1188,  834, 1188,  834;
$8, 2929, 3976, 3976,  276;
$9,  256,  594,  102,32201;
$1,  834, 1178, 2076,  498;
$2, 2063, 2013, 1972,  235;
$3,64644,50024,64644,50024;
$4,23423,60287,59136,  235;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1176,  831, 1176,  831;
$8, 2919, 3976, 3977,  276;
$9,  255,  599,  102,32201;
$1,  834, 1178, 2082,  494;
$2, 2067, 2012, 1974,  192;
$3,64644,50024,64644,50024;
$4,23423,59775,57856,  192;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1188,  828, 1188,  828;
$8, 2918, 3976, 3976,  276;
$9,  256,  594,  102,32201;
$1,  836, 1177, 2087,  496;
$2, 2066, 2011, 1974,  177;
$3,64644,50024,64644,50024;
$4,23423,59775,58112,  177;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1178,  833, 1178,  833;
$8, 2923, 3976, 3976,  276;
$9,  256,  599,  102,32201;
$1,  834, 1177, 2153,  486;
$2, 2060, 2008, 1968,  164;
$3,64644,50024,64644,50024;
$4,23423,60031,65280,  164;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1188,  827, 1188,  827;
$8, 2919, 3976, 3976,  276;
$9,  258,  596,  102,32201;
$1,  834, 1177, 2073,  498;
$2, 2065, 2011, 1969,  155;
$3,64644,50024,64644,50024;
$4,22911,60287,59648,  155;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1178,  833, 1178,  833;
$8, 2930, 3976, 3976,  276;
$9,  256,  599,  102,32201;
$1,  835, 1177, 2076,  495;
$2, 2057, 2011, 1970,  152;
$3,64644,50024,64644,50024;
$4,23423,60031,58112,  152;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1182,  827, 1182,  827;
$8, 2927, 3976, 3976,  276;
$9,  258,  598,  102,32201;
$1,  835, 1178, 2087,  497;
$2, 2068, 2008, 1969,  147;
$3,64644,50024,64644,50024;
$4,22399,59775,59136,  147;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1188,  835, 1188,  835;
$8, 2919, 3976, 3976,  276;
$9,  257,  596,  102,32201;
$1,  834, 1177, 2187,  414;
$2, 2063, 2012, 1976,  148;
$3,64644,50024,64644,50024;
$4,23167,60031,58368,  148;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1183,  834, 1183,  834;
$8, 2923, 3976, 3976,  276;
$9,  258,  593,  102,32201;
$1,  834, 1178, 2107,  493;
$2, 2056, 2010, 1975,  150;
$3,64644,50024,64644,50024;
$4,22911,60543,58880,  150;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1185,  831, 1185,  831;
$8, 2915, 3976, 3976,  276;
$9,  257,  596,  102,32201;
$1,  834, 1177, 2080,  499;
$2, 2063, 2010, 1971,  146;
$3,64644,50024,64644,50024;
$4,23423,60287,59136,  146;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1180,  826, 1180,  826;
$8, 2918, 3977, 3976,  276;
$9,  250,  598,  102,32201;
$1,  833, 1178, 2106,  495;
$2, 2070, 2010, 1967,  144;
$3,64644,50024,64644,50024;
$4,22399,60287,59392,  144;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1179,  829, 1179,  829;
$8, 2918, 3976, 3976,  276;
$9,  257,  592,  102,32201;
$1,  834, 1178, 2078,  492;
$2, 2064, 2013, 1971,  146;
$3,64644,50024,64644,50024;
$4,23423,60543,58624,  146;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1178,  834, 1178,  834;
$8, 2928, 3976, 3976,  276;
$9,  246,  600,  102,32201;
$1,  834, 1177, 2077,  498;
$2, 2063, 2008, 1973,  146;
$3,64644,50024,64644,50024;
$4,23167,60543,59136,  146;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1182,  828, 1182,  828;
$8, 2934, 3975, 3976,  276;
$9,  256,  596,  102,32201;
$1,  834, 1180, 2106,  499;
$2, 2063, 2011, 1974,  146;
$3,64644,50024,64644,50024;
$4,22911,60287,59136,  146;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1182,  830, 1182,  830;
$8, 2929, 3976, 3977,  276;
$9,  256,  601,  102,32201;
$1,  834, 1178, 2134,  487;
$2, 2055, 2008, 1975,  147;
$3,64644,50024,64644,50024;
$4,21375,60287,58880,  147;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1180,  832, 1180,  832;
$8, 2928, 3976, 3976,  276;
$9,  247,  592,  102,32201;
$1,  834, 1177, 2083,  500;
$2, 2059, 2008, 1974,  146;
$3,64644,50024,64644,50024;
$4,22911,60031,58368,  146;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1182,  831, 1182,  831;
$8, 2927, 3976, 3976,  276;
$9,  257,  591,  102,32201;
$1,  834, 1179, 2077,  498;
$2, 2060, 2010, 1968,  146;
$3,64644,50024,64644,50024;
$4,23167,60031,57856,  146;
$5,65535,    1,53188,    0;
$6, 2235, 2067, 2235, 2067;
$7, 1178,  830, 1178,  830;
$8, 2931, 3976, 3976,  276;
$9,  258,  592,  102,32201;
$1,  836, 1177, 2083,  497;
$2, 2065, 2008, 1967,  144;
$3,64644,50024,64644,50024;
$4,22911,60287,59904,  144;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1182,  836, 1182,  836;
$8, 2934, 3976, 3976,  276;
$9,  256,  595,  102,32201;
$1,  834, 1177, 2191,  421;
$2, 2064, 2014, 1974,  150;
$3,64644,50024,64644,50024;
$4,22655,60543,58368,  150;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1183,  826, 1183,  826;
$8, 2919, 3975, 3977,  276;
$9,  257,  589,  102,32201;
$1,  834, 1177, 2121,  496;
$2, 2053, 2009, 1977,  171;
$3,64644,50024,64644,50024;
$4,21375,60543,59136,  171;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1188,  833, 1188,  833;
$8, 2923, 3976, 3977,  276;
$9,  258,  592,  102,32201;
$1,  834, 1177, 2093,  497;
$2, 2058, 2013, 1971,  195;
$3,64644,50024,64644,50024;
$4,22399,59775,58624,  195;
$5,65535,    1,53188,    0;
$6, 2234, 2069, 2234, 2069;
$7, 1178,  833, 1178,  833;
$8, 2930, 3976, 3976,  276;
$9,  256,  594,  102,32201;
$1,  834, 1178, 2101,  496;
$2, 2062, 2010, 1969,  218;
$3,64644,50024,64644,50024;
$4,23423,59775,59648,  218;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1182,  828, 1182,  828;
$8, 2932, 3975, 3976,  276;
$9,  248,  593,  102,32201;
$1,  835, 1180, 2068,  499;
$2, 2055, 2010, 1970,  253;
$3,64644,50024,64644,50024;
$4,22399,60287,59648,  253;
$5,65535,    1,53188,    0;
$6, 2234, 2068, 2234, 2068;
$7, 1188,  825, 1188,  825;
$8, 2918, 3977, 3976,  276;
$9,  256,  595,  102,32201;
$1,  834, 1177, 2078,  502;
$2, 2062, 2008, 1973,  293;
$3,64644,50024,64644,50024;
$4,22911,59775,59136,  293;
$5,65535,    1,53188,    0;
$6, 2235, 2068, 2235, 2068;
$7, 1180,  832, 1180,  832;
$8, 2923, 3976, 3976,  276;
$9,  255,  593,  102,32201;
$1,  834, 1177, 2083,  499;
$2, 2057, 2011, 1973,  338;
